id;group_id;permission_id
76;3;252
77;3;253
78;3;254
79;3;255
80;3;256
81;3;260
82;3;261
83;3;262
84;3;264
85;3;268
86;3;272
87;3;273
88;3;274
89;3;276
90;3;277
91;3;278
92;3;280
93;3;284
94;3;288
95;3;292
96;3;293
97;3;294
98;3;296
99;3;300
100;3;304
101;3;308
102;3;312
103;3;313
104;3;314
105;3;316
106;3;317
107;3;320
108;3;324
109;3;328
110;3;329
111;3;330
112;3;332
113;3;334
114;3;336
115;3;340
116;3;344
117;3;348
;2;8
;2;12
;2;16
;2;20
;2;25
;2;26
;2;28
;2;32
;2;36
;2;40
;2;44
;2;56
;2;60
;2;61
;2;64
;2;68
;2;72
;2;77
;2;78
;2;80
;2;81
;2;84
;2;92
;2;93
;2;96
;2;104
;2;108
;2;112
;2;116
;2;120
;2;124
;2;126
;2;128
;2;129
;2;132
;2;136
;2;144
;2;156
;2;160
;2;168
;2;172
;2;176
;2;180
;2;184
;2;188
;2;189
;2;190
;2;192
;2;196
;2;200
;2;204
;2;208
;2;212
;2;216
;2;220
;2;224
;2;228
;2;229
;2;232
;2;233
;2;236
;2;240
;2;244
;2;248
;2;252
;2;253
;2;254
;2;255
;2;256
;2;260
;2;261
;2;262
;2;264
;2;268
;2;272
;2;273
;2;274
;2;276
;2;277
;2;278
;2;280
;2;284
;2;288
;2;292
;2;293
;2;294
;2;296
;2;300
;2;304
;2;308
;2;312
;2;313
;2;314
;2;316
;2;317
;2;320
;2;324
;2;328
;2;329
;2;330
;2;332
;2;334
;2;336
;2;340
;2;344
;2;348
